%%++%% moot/WASTE output for model=en-wsj (WORD "\t" OFFSET LENGTH "\t" FEATURES)
BIRDS	0 5	alpha,cap,a0,l5,b1,s1,S0,w1
the	235962 3	stop,lo,a0,l3,b1,s0,S0,w1
call-note	235966 9	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
.	235975 1	$.,*,a0,l0,b0,s0,S1,w1

The	235978 3	stop,up,a0,l3,b1,s1,S0,w1
nest	235982 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	235987 2	stop,lo,a0,l3,b1,s0,S0,w1
this	235990 4	stop,lo,a0,l5,b1,s0,S0,w1
species	235995 7	alpha,lo,a0,lN,b1,s0,S0,w1
varies	236003 6	alpha,lo,a0,lN,b1,s0,S0,w1
exceedingh-	236010 11	alpha,lo,a0,lN,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
;	236022 1	stop,up,a0,l3,b1,s0,S0,w1
not	236024 3	stop,lo,a0,l3,b1,s0,S0,w1
,	236027 1	$,,*,a0,l0,b0,s0,S0,w1
as	236029 2	stop,lo,a0,l3,b1,s0,S0,w1
has	236032 3	stop,lo,a0,l3,b1,s0,S0,w1
been	236036 4	stop,lo,a0,l5,b1,s0,S0,w1
stated	236041 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	236047 1	$,,*,a0,l0,b0,s0,S0,w1
with	236049 4	stop,lo,a0,l5,b1,s0,S0,w1
the	236054 3	stop,lo,a0,l3,b1,s0,S0,w1
deliberate	236058 10	alpha,lo,a0,lN,b1,s0,S0,w1
design	236069 6	alpha,lo,a0,lN,b1,s0,S0,w1
of	236076 2	stop,lo,a0,l3,b1,s0,S0,w1
the	236079 3	stop,lo,a0,l3,b1,s0,S0,w1
bird	236083 4	alpha,lo,a0,l5,b1,s0,S0,w1
to	236088 2	stop,lo,a0,l3,b1,s0,S0,w1
conceal	236091 7	alpha,lo,a0,lN,b1,s0,S0,w1
it	236099 2	stop,lo,a0,l3,b1,s0,S0,w1
;	236101 1	$;,*,a0,l0,b0,s0,S0,w1
for	236103 3	stop,lo,a0,l3,b1,s0,S0,w1
,	236106 1	$,,*,a0,l0,b0,s0,S0,w1
if	236108 2	stop,lo,a0,l3,b1,s0,S0,w1
such	236111 4	stop,lo,a0,l5,b1,s0,S0,w1
were	236116 4	stop,lo,a0,l5,b1,s0,S0,w1
the	236121 3	stop,lo,a0,l3,b1,s0,S0,w1
case	236125 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	236129 1	$,,*,a0,l0,b0,s0,S0,w1
this	236131 4	stop,lo,a0,l5,b1,s0,S0,w1
pretty	236136 6	alpha,lo,a0,lN,b1,s0,S0,w1
'	236142 1	$',*,a0,l0,b0,s0,S0,w1
little	236144 6	alpha,lo,a0,lN,b1,s0,S0,w1
structure	236151 9	alpha,lo,a0,lN,b1,s0,S0,w1
would	236161 5	alpha,lo,a0,l5,b1,s0,S0,w1
never	236167 5	alpha,lo,a0,l5,b1,s0,S0,w1
be	236173 2	stop,lo,a0,l3,b1,s0,S0,w1
so	236176 2	stop,lo,a0,l3,b1,s0,S0,w1
glaringl	236179 8	alpha,lo,a0,lN,b1,s0,S0,w1
}	236187 1	$),*,a0,l0,b0,s0,S0,w1
'	236188 1	$',*,a0,l0,b0,s0,S0,w1
conspicuous	236190 11	alpha,lo,a0,lN,b1,s0,S0,w1
as	236202 2	stop,lo,a0,l3,b1,s0,S0,w1
it	236205 2	stop,lo,a0,l3,b1,s0,S0,w1
sometimes	236208 9	alpha,lo,a0,lN,b1,s0,S0,w1
is	236218 2	stop,lo,a0,l3,b1,s0,S0,w1
;	236220 1	$;,*,a0,l0,b0,s0,S0,w1
but	236222 3	stop,lo,a0,l3,b1,s0,S0,w1
simply	236226 6	alpha,lo,a0,lN,b1,s0,S0,w1
from	236233 4	stop,lo,a0,l5,b1,s0,S0,w1
the	236238 3	stop,lo,a0,l3,b1,s0,S0,w1
fact	236242 4	alpha,lo,a0,l5,b1,s0,S0,w1
that	236247 4	stop,lo,a0,l5,b1,s0,S0,w1
,	236251 1	$,,*,a0,l0,b0,s0,S0,w1
like	236253 4	alpha,lo,a0,l5,b1,s0,S0,w1
most	236258 4	stop,lo,a0,l5,b1,s0,S0,w1
birds	236263 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	236268 1	$,,*,a0,l0,b0,s0,S0,w1
the	236270 3	stop,lo,a0,l3,b1,s0,S0,w1
Chaffinch	236274 9	alpha,up,a0,lN,b1,s0,S0,w1
uses	236284 4	alpha,lo,a0,l5,b1,s0,S0,w1
those	236289 5	stop,lo,a0,l5,b1,s0,S0,w1
materials	236295 9	alpha,lo,a0,lN,b1,s0,S0,w1
which	236305 5	stop,lo,a0,l5,b1,s0,S0,w1
are	236311 3	stop,lo,a0,l3,b1,s0,S0,w1
most	236315 4	stop,lo,a0,l5,b1,s0,S0,w1
hand	236320 4	alpha,lo,a0,l5,b1,s0,S0,w1
}	236324 1	$),*,a0,l0,b0,s0,S0,w1
^	236325 1	$~,*,a0,l0,b0,s0,S0,w1
provided	236327 8	alpha,lo,a0,lN,b1,s0,S0,w1
that	236336 4	stop,lo,a0,l5,b1,s0,S0,w1
they	236341 4	stop,lo,a0,l5,b1,s0,S0,w1
are	236346 3	stop,lo,a0,l3,b1,s0,S0,w1
capable	236350 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	236358 2	stop,lo,a0,l3,b1,s0,S0,w1
being	236361 5	stop,lo,a0,l5,b1,s0,S0,w1
woven	236367 5	alpha,lo,a0,l5,b1,s0,S0,w1
into	236373 4	stop,lo,a0,l5,b1,s0,S0,w1
a	236378 1	stop,lo,a0,l1,b1,s0,S0,w1
soft	236380 4	alpha,lo,a0,l5,b1,s0,S0,w1
warm	236385 4	alpha,lo,a0,l5,b1,s0,S0,w1
mass	236390 4	alpha,lo,a0,l5,b1,s0,S0,w1
.	236394 1	$.,*,a0,l0,b0,s0,S1,w1

The	236396 3	stop,up,a0,l3,b1,s1,S0,w1
nest	236400 4	alpha,lo,a0,l5,b1,s0,S0,w1
is	236405 2	stop,lo,a0,l3,b1,s0,S0,w1
most	236408 4	stop,lo,a0,l5,b1,s0,S0,w1
freqiieutl	236413 10	alpha,lo,a0,lN,b1,s0,S0,w1
}	236423 1	$),*,a0,l0,b0,s0,S0,w1
'	236424 1	$',*,a0,l0,b0,s0,S0,w1
placed	236426 6	alpha,lo,a0,lN,b1,s0,S0,w1
in	236433 2	stop,lo,a0,l3,b1,s0,S0,w1
hawthorn	236436 8	alpha,lo,a0,lN,b1,s0,S0,w1
hedges	236445 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	236451 1	$,,*,a0,l0,b0,s0,S0,w1
where	236453 5	stop,lo,a0,l5,b1,s0,S0,w1
mimicry	236459 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	236467 2	stop,lo,a0,l3,b1,s0,S0,w1
its	236470 3	stop,lo,a0,l3,b1,s0,S0,w1
environment	236474 11	alpha,lo,a0,lN,b1,s0,S0,w1
wonld	236486 5	alpha,lo,a0,l5,b1,s0,S0,w1
be	236492 2	stop,lo,a0,l3,b1,s0,S0,w1
absolutely	236495 10	alpha,lo,a0,lN,b1,s0,S0,w1
useless	236506 7	alpha,lo,a0,lN,b1,s0,S0,w1
;	236514 1	stop,cap,a0,l3,b1,s0,S0,w1
preference	236516 10	alpha,lo,a0,lN,b1,s0,S0,w1
is	236527 2	stop,lo,a0,l3,b1,s0,S0,w1
given	236530 5	alpha,lo,a0,l5,b1,s0,S0,w1
to	236536 2	stop,lo,a0,l3,b1,s0,S0,w1
hedges	236539 6	alpha,lo,a0,lN,b1,s0,S0,w1
enclosing	236546 9	alpha,lo,a0,lN,b1,s0,S0,w1
orchards	236556 8	alpha,lo,a0,lN,b1,s0,S0,w1
,	236564 1	$,,*,a0,l0,b0,s0,S0,w1
but	236566 3	stop,lo,a0,l3,b1,s0,S0,w1
roadside	236570 8	alpha,lo,a0,lN,b1,s0,S0,w1
hedge-rows	236579 10	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
are	236590 3	stop,lo,a0,l3,b1,s0,S0,w1
often	236594 5	alpha,lo,a0,l5,b1,s0,S0,w1
utilized	236600 8	alpha,lo,a0,lN,b1,s0,S0,w1
,	236608 1	$,,*,a0,l0,b0,s0,S0,w1
as	236610 2	stop,lo,a0,l3,b1,s0,S0,w1
also	236613 4	alpha,lo,a0,l5,b1,s0,S0,w1
those	236618 5	stop,lo,a0,l5,b1,s0,S0,w1
along	236624 5	alpha,lo,a0,l5,b1,s0,S0,w1
the	236630 3	stop,lo,a0,l3,b1,s0,S0,w1
margins	236634 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	236642 2	stop,lo,a0,l3,b1,s0,S0,w1
woods	236645 5	alpha,lo,a0,l5,b1,s0,S0,w1
;	236651 1	stop,up,a0,l5,b1,s0,S0,w1
the	236653 3	stop,lo,a0,l3,b1,s0,S0,w1
forks	236657 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	236663 2	stop,lo,a0,l3,b1,s0,S0,w1
young	236666 5	alpha,lo,a0,l5,b1,s0,S0,w1
fruit-trees	236672 11	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
and	236684 3	stop,lo,a0,l3,b1,s0,S0,w1
the	236688 3	stop,lo,a0,l3,b1,s0,S0,w1
boughs	236692 6	alpha,lo,a0,lN,b1,s0,S0,w1
of	236699 2	stop,lo,a0,l3,b1,s0,S0,w1
old	236702 3	alpha,lo,a0,l3,b1,s0,S0,w1
apple-trees	236706 11	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
are	236718 3	stop,lo,a0,l3,b1,s0,S0,w1
sometimes	236722 9	alpha,lo,a0,lN,b1,s0,S0,w1
selected	236732 8	alpha,lo,a0,lN,b1,s0,S0,w1
as	236741 2	stop,lo,a0,l3,b1,s0,S0,w1
nesting-sites	236744 13	alpha,lo,a0,lN,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
,	236757 1	$,,*,a0,l0,b0,s0,S0,w1
and	236759 3	stop,lo,a0,l3,b1,s0,S0,w1
Seebohm	236763 7	alpha,up,a0,lN,b1,s0,S0,w1
speaks	236771 6	alpha,lo,a0,lN,b1,s0,S0,w1
of	236778 2	stop,lo,a0,l3,b1,s0,S0,w1
the	236781 3	stop,lo,a0,l3,b1,s0,S0,w1
"	236785 1	$",*,a0,l0,b1,s0,S0,w1
lichen-	236787 7	alpha,lo,a0,lN,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
and	236795 3	stop,lo,a0,l3,b1,s0,S0,w1
moss-covered	236799 12	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
branches	236812 8	alpha,lo,a0,lN,b1,s0,S0,w1
of	236821 2	stop,lo,a0,l3,b1,s0,S0,w1
the	236824 3	stop,lo,a0,l3,b1,s0,S0,w1
birch-	236828 6	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
and	236835 3	stop,lo,a0,l3,b1,s0,S0,w1
ash-trees	236839 9	alpha,lo,a0,l3,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
,	236848 1	$,,*,a0,l0,b0,s0,S0,w1
far	236850 3	alpha,lo,a0,l3,b1,s0,S0,w1
up	236854 2	stop,lo,a0,l3,b1,s0,S0,w1
in	236857 2	stop,lo,a0,l3,b1,s0,S0,w1
the	236860 3	stop,lo,a0,l3,b1,s0,S0,w1
towering	236864 8	alpha,lo,a0,lN,b1,s0,S0,w1
branches	236873 8	alpha,lo,a0,lN,b1,s0,S0,w1
of	236882 2	stop,lo,a0,l3,b1,s0,S0,w1
the	236885 3	stop,lo,a0,l3,b1,s0,S0,w1
oak	236889 3	alpha,lo,a0,l3,b1,s0,S0,w1
,	236892 1	$,,*,a0,l0,b0,s0,S0,w1
the	236894 3	stop,lo,a0,l3,b1,s0,S0,w1
alder	236898 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	236903 1	$,,*,a0,l0,b0,s0,S0,w1
and	236905 3	stop,lo,a0,l3,b1,s0,S0,w1
the	236909 3	stop,lo,a0,l3,b1,s0,S0,w1
poplar	236913 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	236919 1	$,,*,a0,l0,b0,s0,S0,w1
and	236921 3	stop,lo,a0,l3,b1,s0,S0,w1
on	236925 2	stop,lo,a0,l3,b1,s0,S0,w1
the	236928 3	stop,lo,a0,l3,b1,s0,S0,w1
lowly	236932 5	alpha,lo,a0,l5,b1,s0,S0,w1
branches	236938 8	alpha,lo,a0,lN,b1,s0,S0,w1
of	236947 2	stop,lo,a0,l3,b1,s0,S0,w1
the	236950 3	stop,lo,a0,l3,b1,s0,S0,w1
holly	236954 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	236959 1	$,,*,a0,l0,b0,s0,S0,w1
more	236961 4	stop,lo,a0,l5,b1,s0,S0,w1
rarely	236966 6	alpha,lo,a0,lN,b1,s0,S0,w1
of	236973 2	stop,lo,a0,l3,b1,s0,S0,w1
the	236976 3	stop,lo,a0,l3,b1,s0,S0,w1
yew	236980 3	alpha,lo,a0,l3,b1,s0,S0,w1
,	236983 1	$,,*,a0,l0,b0,s0,S0,w1
and	236985 3	stop,lo,a0,l3,b1,s0,S0,w1
freciuentl	236989 10	alpha,lo,a0,lN,b1,s0,S0,w1
}-	236999 2	$),*,a0,l0,b0,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
in	237002 2	stop,lo,a0,l3,b1,s0,S0,w1
the	237005 3	stop,lo,a0,l3,b1,s0,S0,w1
gorse	237009 5	alpha,lo,a0,l5,b1,s0,S0,w1
shrubs	237015 6	alpha,lo,a0,lN,b1,s0,S0,w1
.	237021 1	$.,*,a0,l0,b0,s0,S0,w1
"	237022 1	$",*,a0,l0,b0,s0,S1,w1

I	237024 1	stop,cap,a0,l1,b1,s1,S0,w1
have	237026 4	stop,lo,a0,l5,b1,s0,S0,w1
found	237031 5	alpha,lo,a0,l5,b1,s0,S0,w1
it	237037 2	stop,lo,a0,l3,b1,s0,S0,w1
in	237040 2	stop,lo,a0,l3,b1,s0,S0,w1
the	237043 3	stop,lo,a0,l3,b1,s0,S0,w1
yew	237047 3	alpha,lo,a0,l3,b1,s0,S0,w1
,	237050 1	$,,*,a0,l0,b0,s0,S0,w1
but	237052 3	stop,lo,a0,l3,b1,s0,S0,w1
never	237056 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	237062 2	stop,lo,a0,l3,b1,s0,S0,w1
gorse	237065 5	alpha,lo,a0,l5,b1,s0,S0,w1
.	237070 1	$.,*,a0,l0,b0,s0,S1,w1

The	237073 3	stop,up,a0,l3,b1,s1,S0,w1
nest	237077 4	alpha,lo,a0,l5,b1,s0,S0,w1
takes	237082 5	alpha,lo,a0,l5,b1,s0,S0,w1
from	237088 4	stop,lo,a0,l5,b1,s0,S0,w1
five	237093 4	alpha,lo,a0,l5,b1,s0,S0,w1
da^-s	237098 5	alpha,lo,a0,l3,b1,s0,S0,w1 $~,*,a0,l0,b0,s0,S0,w0 $-,*,a0,l0,b0,s0,S0,w0 stop,lo,a0,l1,b0,s0,S0,w0
to	237104 2	stop,lo,a0,l3,b1,s0,S0,w1
a	237107 1	stop,lo,a0,l1,b1,s0,S0,w1
fortnight	237109 9	alpha,lo,a0,lN,b1,s0,S0,w1
to	237119 2	stop,lo,a0,l3,b1,s0,S0,w1
construct	237122 9	alpha,lo,a0,lN,b1,s0,S0,w1
,	237131 1	$,,*,a0,l0,b0,s0,S0,w1
all	237133 3	stop,lo,a0,l3,b1,s0,S0,w1
depending	237137 9	alpha,lo,a0,lN,b1,s0,S0,w1
upon	237147 4	alpha,lo,a0,l5,b1,s0,S0,w1
whether	237152 7	alpha,lo,a0,lN,b1,s0,S0,w1
the	237160 3	stop,lo,a0,l3,b1,s0,S0,w1
bird	237164 4	alpha,lo,a0,l5,b1,s0,S0,w1
is	237169 2	stop,lo,a0,l3,b1,s0,S0,w1
ready	237172 5	alpha,lo,a0,l5,b1,s0,S0,w1
to	237178 2	stop,lo,a0,l3,b1,s0,S0,w1
la	237181 2	alpha,lo,a0,l3,b1,s0,S0,w1
^'	237183 2	$~,*,a0,l0,b0,s0,S0,w1 $',*,a0,l0,b0,s0,S0,w0
.	237185 1	$.,*,a0,l0,b0,s0,S1,w1

In	237187 2	stop,up,a0,l3,b1,s1,S0,w1
form	237190 4	alpha,lo,a0,l5,b1,s0,S0,w1
it	237195 2	stop,lo,a0,l3,b1,s0,S0,w1
is	237198 2	stop,lo,a0,l3,b1,s0,S0,w1
a	237201 1	stop,lo,a0,l1,b1,s0,S0,w1
small	237203 5	alpha,lo,a0,l5,b1,s0,S0,w1
neat	237209 4	alpha,lo,a0,l5,b1,s0,S0,w1
cup	237214 3	alpha,lo,a0,l3,b1,s0,S0,w1
,	237217 1	$,,*,a0,l0,b0,s0,S0,w1
slightl	237219 7	alpha,lo,a0,lN,b1,s0,S0,w1
}	237226 1	$),*,a0,l0,b0,s0,S0,w1
'	237227 1	$',*,a0,l0,b0,s0,S0,w1
contracted	237229 12	alpha,lo,a0,lN,b1,s0,S0,w1
at	237242 2	stop,lo,a0,l3,b1,s0,S0,w1
the	237245 3	stop,lo,a0,l3,b1,s0,S0,w1
top	237249 3	alpha,lo,a0,l3,b1,s0,S0,w1
,	237252 1	$,,*,a0,l0,b0,s0,S0,w1
and	237254 3	stop,lo,a0,l3,b1,s0,S0,w1
tolerably	237258 9	alpha,lo,a0,lN,b1,s0,S0,w1
deep	237268 4	alpha,lo,a0,l5,b1,s0,S0,w1
;	237273 1	stop,up,a0,lN,b1,s0,S0,w1
but	237275 3	stop,lo,a0,l3,b1,s0,S0,w1
curiously	237279 9	alpha,lo,a0,lN,b1,s0,S0,w1
enough	237289 6	alpha,lo,a0,lN,b1,s0,S0,w1
Seebohm	237296 7	alpha,up,a0,lN,b1,s0,S0,w1
quotes	237304 6	alpha,lo,a0,lN,b1,s0,S0,w1
a	237311 1	stop,lo,a0,l1,b1,s0,S0,w1
note	237313 4	alpha,lo,a0,l5,b1,s0,S0,w1
h\	237318 2	alpha,lo,a0,l1,b1,s0,S0,w1 $/,*,a0,l0,b0,s0,S0,w0
a	237321 1	stop,lo,a0,l1,b1,s0,S0,w1
Mr	237323 2	alpha,up,a0,l3,b1,s0,S0,w1
.	237325 1	$.,*,a0,l0,b0,s0,S0,w1
C.	237327 2	rom,*,a0,l1,b1,s0,S0,w1 $.,*,a0,l0,b0,s0,S0,w0
Doncaster	237330 9	alpha,up,a0,lN,b1,s0,S0,w1
on	237340 2	stop,lo,a0,l3,b1,s0,S0,w1
a	237343 1	stop,lo,a0,l1,b1,s0,S0,w1
very	237345 4	stop,lo,a0,l5,b1,s0,S0,w1
aberrant	237350 8	alpha,lo,a0,lN,b1,s0,S0,w1
nest	237359 4	alpha,lo,a0,l5,b1,s0,S0,w1
seen	237364 4	alpha,lo,a0,l5,b1,s0,S0,w1
by	237369 2	stop,lo,a0,l3,b1,s0,S0,w1
him	237372 3	stop,lo,a0,l3,b1,s0,S0,w1
on	237376 2	stop,lo,a0,l3,b1,s0,S0,w1
a	237379 1	stop,lo,a0,l1,b1,s0,S0,w1
thorn	237381 5	alpha,lo,a0,l5,b1,s0,S0,w1
tree	237387 4	alpha,lo,a0,l5,b1,s0,S0,w1
by	237392 2	stop,lo,a0,l3,b1,s0,S0,w1
the	237395 3	stop,lo,a0,l3,b1,s0,S0,w1
river	237399 5	alpha,lo,a0,l5,b1,s0,S0,w1
Derweut	237405 7	alpha,up,a0,lN,b1,s0,S0,w1
,	237412 1	$,,*,a0,l0,b0,s0,S0,w1
which	237414 5	stop,lo,a0,l5,b1,s0,S0,w1
appears	237420 7	alpha,lo,a0,lN,b1,s0,S0,w1
to	237428 2	stop,lo,a0,l3,b1,s0,S0,w1
have	237431 4	stop,lo,a0,l5,b1,s0,S0,w1
been	237436 4	stop,lo,a0,l5,b1,s0,S0,w1
like	237441 4	alpha,lo,a0,l5,b1,s0,S0,w1
that	237446 4	stop,lo,a0,l5,b1,s0,S0,w1
made	237451 4	alpha,lo,a0,l5,b1,s0,S0,w1
by	237456 2	stop,lo,a0,l3,b1,s0,S0,w1
an	237459 2	stop,lo,a0,l3,b1,s0,S0,w1
English	237462 7	alpha,up,a0,lN,b1,s0,S0,w1
Chaffinch	237470 9	alpha,up,a0,lN,b1,s0,S0,w1
sent	237480 4	alpha,lo,a0,l5,b1,s0,S0,w1
to	237485 2	stop,lo,a0,l3,b1,s0,S0,w1
New	237488 3	alpha,up,a0,l3,b1,s0,S0,w1
Zealand	237492 7	alpha,up,a0,lN,b1,s0,S0,w1
,	237499 1	$,,*,a0,l0,b0,s0,S0,w1
and	237501 3	stop,lo,a0,l3,b1,s0,S0,w1
which	237505 5	stop,lo,a0,l5,b1,s0,S0,w1
has	237511 3	stop,lo,a0,l3,b1,s0,S0,w1
been	237515 4	stop,lo,a0,l5,b1,s0,S0,w1
figured	237520 7	alpha,lo,a0,lN,b1,s0,S0,w1
b	237528 1	alpha,lo,a0,l1,b1,s0,S0,w1
}'	237529 2	$),*,a0,l0,b0,s0,S0,w1 $',*,a0,l0,b0,s0,S1,w0

Dixon	237532 5	alpha,up,a0,l5,b1,s1,S0,w1
as	237538 2	stop,lo,a0,l3,b1,s0,S0,w1
evidence	237541 8	alpha,lo,a0,lN,b1,s0,S0,w1
that	237550 4	stop,lo,a0,l5,b1,s0,S0,w1
birds	237555 5	alpha,lo,a0,l5,b1,s0,S0,w1
do	237561 2	stop,lo,a0,l3,b1,s0,S0,w1
not	237564 3	stop,lo,a0,l3,b1,s0,S0,w1
inherit	237568 7	alpha,lo,a0,lN,b1,s0,S0,w1
the	237576 3	stop,lo,a0,l3,b1,s0,S0,w1
design	237580 6	alpha,lo,a0,lN,b1,s0,S0,w1
upon	237587 4	alpha,lo,a0,l5,b1,s0,S0,w1
which	237592 5	stop,lo,a0,l5,b1,s0,S0,w1
they	237598 4	stop,lo,a0,l5,b1,s0,S0,w1
construct	237603 9	alpha,lo,a0,lN,b1,s0,S0,w1
their	237613 5	stop,lo,a0,l5,b1,s0,S0,w1
nests	237619 5	alpha,lo,a0,l5,b1,s0,S0,w1
.	237624 1	$.,*,a0,l0,b0,s0,S1,w1

In	237626 2	stop,up,a0,l3,b1,s1,S0,w1
the	237629 3	stop,lo,a0,l3,b1,s0,S0,w1
year	237633 4	alpha,lo,a0,l5,b1,s0,S0,w1
1896	237638 4	num,*,a0,l5,b1,s0,S0,w1
I	237643 1	stop,cap,a0,l1,b1,s0,S0,w1
again	237645 5	stop,lo,a0,l5,b1,s0,S0,w1
turned	237651 6	alpha,lo,a0,lN,b1,s0,S0,w1
a	237658 1	stop,lo,a0,l1,b1,s0,S0,w1
Canarj-	237660 7	alpha,up,a0,lN,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
loose	237668 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	237674 2	stop,lo,a0,l3,b1,s0,S0,w1
an	237677 2	stop,lo,a0,l3,b1,s0,S0,w1
aviary	237680 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	237686 1	$,,*,a0,l0,b0,s0,S0,w1
and	237688 3	stop,lo,a0,l3,b1,s0,S0,w1
had	237692 3	stop,lo,a0,l3,b1,s0,S0,w1
the	237696 3	stop,lo,a0,l3,b1,s0,S0,w1
pleasure	237700 8	alpha,lo,a0,lN,b1,s0,S0,w1
of	237709 2	stop,lo,a0,l3,b1,s0,S0,w1
seeing	237712 6	alpha,lo,a0,lN,b1,s0,S0,w1
her	237719 3	stop,lo,a0,l3,b1,s0,S0,w1
prove	237723 5	alpha,lo,a0,l5,b1,s0,S0,w1
the	237729 3	stop,lo,a0,l3,b1,s0,S0,w1
fallacy	237733 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	237741 2	stop,lo,a0,l3,b1,s0,S0,w1
Dixon	237744 5	alpha,up,a0,l5,b1,s0,S0,w1
's	237749 2	$',*,a0,l0,b0,s0,S0,w1 stop,lo,a0,l1,b0,s0,S0,w0
belief	237752 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	237758 1	$,,*,a0,l0,b0,s0,S0,w1
by	237760 2	stop,lo,a0,l3,b1,s0,S0,w1
building	237763 8	alpha,lo,a0,lN,b1,s0,S0,w1
a	237772 1	stop,lo,a0,l1,b1,s0,S0,w1
cup-shaped	237774 10	alpha,lo,a0,l3,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
nest	237785 4	alpha,lo,a0,l5,b1,s0,S0,w1
in	237790 2	stop,lo,a0,l3,b1,s0,S0,w1
a	237793 1	stop,lo,a0,l1,b1,s0,S0,w1
bunch	237795 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	237801 2	stop,lo,a0,l3,b1,s0,S0,w1
fir-twigs	237804 9	alpha,lo,a0,l3,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
,	237813 1	$,,*,a0,l0,b0,s0,S0,w1
her	237815 3	stop,lo,a0,l3,b1,s0,S0,w1
only	237819 4	stop,lo,a0,l5,b1,s0,S0,w1
pattern	237824 7	alpha,lo,a0,lN,b1,s0,S0,w1
being	237832 5	stop,lo,a0,l5,b1,s0,S0,w1
set	237838 3	alpha,lo,a0,l3,b1,s0,S0,w1
b	237842 1	alpha,lo,a0,l1,b1,s0,S0,w1
}-	237843 2	$),*,a0,l0,b0,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
a	237846 1	stop,lo,a0,l1,b1,s0,S0,w1
Canary	237848 6	alpha,up,a0,lN,b1,s0,S0,w1
on	237855 2	stop,lo,a0,l3,b1,s0,S0,w1
the	237858 3	stop,lo,a0,l3,b1,s0,S0,w1
opposite	237862 8	alpha,lo,a0,lN,b1,s0,S0,w1
side	237871 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	237876 2	stop,lo,a0,l3,b1,s0,S0,w1
the	237879 3	stop,lo,a0,l3,b1,s0,S0,w1
aviary	237883 6	alpha,lo,a0,lN,b1,s0,S0,w1
sitting	237890 7	alpha,lo,a0,lN,b1,s0,S0,w1
in	237898 2	stop,lo,a0,l3,b1,s0,S0,w1
the	237901 3	stop,lo,a0,l3,b1,s0,S0,w1
usual	237905 5	alpha,lo,a0,l5,b1,s0,S0,w1
square	237911 6	alpha,lo,a0,lN,b1,s0,S0,w1
box	237918 3	alpha,lo,a0,l3,b1,s0,S0,w1
.	237921 1	$.,*,a0,l0,b0,s0,S1,w1

The	237924 3	stop,up,a0,l3,b1,s1,S0,w1
materials	237928 9	alpha,lo,a0,lN,b1,s0,S0,w1
of	237938 2	stop,lo,a0,l3,b1,s0,S0,w1
the	237941 3	stop,lo,a0,l3,b1,s0,S0,w1
nest	237945 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	237949 1	$,,*,a0,l0,b0,s0,S0,w1
as	237951 2	stop,lo,a0,l3,b1,s0,S0,w1
already	237954 7	alpha,lo,a0,lN,b1,s0,S0,w1
stated	237962 6	alpha,lo,a0,lN,b1,s0,S0,w1
